,location code,user id,credit card info save,add to wishlist,desktop sessions,app sessions,desktop transactions,promotion clicks,sale product views,app transactions,customer service calls,churn
0,US,3824657,no,25,265,45,17,87,91,3,1,Yes
1,US,3717191,no,26,162,27,17,103,103,3,1,Yes
2,US,3581921,no,0,243,41,10,110,104,5,0,Yes
3,UAE,3759999,yes,0,299,51,5,88,89,7,2,Yes
4,US,3306626,yes,0,167,28,13,122,121,3,3,Yes
5,India,3918027,yes,0,223,38,19,101,118,6,0,Yes
6,India,3559993,no,24,218,37,30,108,118,7,3,Yes
7,US,3299001,yes,0,157,27,9,94,96,6,0,Yes
8,UAE,3354719,no,0,185,31,30,80,90,4,1,Yes
9,US,3308173,yes,37,259,44,19,111,97,5,0,Yes
10,US,3296603,no,0,129,22,19,83,111,6,4,No
11,US,3449403,no,0,188,32,14,148,94,5,0,Yes
12,UAE,3631107,no,0,129,22,9,71,128,2,1,Yes
13,India,3948006,no,0,157,27,21,75,115,5,3,Yes
14,US,3669238,no,0,121,21,26,76,99,6,4,Yes
15,US,3517269,no,0,333,57,27,97,128,9,4,No
16,UAE,3508884,no,27,196,33,24,90,75,4,1,Yes
17,India,3862923,no,0,191,32,19,111,121,3,3,Yes
18,India,3562992,no,33,190,32,18,65,108,5,1,Yes
19,US,3732782,no,0,224,38,14,88,74,2,1,Yes
20,US,3965800,no,0,155,26,20,93,133,4,0,Yes
21,UAE,3937984,no,0,62,11,14,121,64,6,5,No
22,US,3581958,no,0,183,31,6,99,78,19,0,Yes
23,US,3502565,no,0,110,19,12,102,105,6,2,Yes
24,India,3434696,no,0,81,14,21,72,115,2,0,Yes
25,US,3313698,no,0,124,21,24,112,115,5,3,Yes
26,UAE,3573817,no,39,213,36,16,112,115,3,0,Yes
27,UAE,4186412,no,0,134,23,13,100,68,4,3,Yes
28,US,3532630,no,0,190,32,22,84,102,6,0,Yes
29,India,4107789,no,0,119,20,18,109,90,1,1,Yes
30,US,4168428,no,0,85,14,12,63,148,6,2,Yes
31,India,3703359,no,0,226,38,17,107,98,5,1,Yes
32,UAE,3831121,no,0,212,36,3,115,78,10,3,Yes
33,UAE,3601596,no,0,250,42,21,119,90,3,1,No
34,UAE,3952854,no,25,177,30,17,75,116,4,0,Yes
35,US,3621407,no,37,220,37,18,102,71,6,3,Yes
36,UAE,3419764,no,30,146,25,14,80,109,6,0,Yes
37,US,3533305,no,0,131,22,19,116,108,5,1,Yes
38,US,4021381,yes,33,204,35,16,99,107,6,3,Yes
39,UAE,3329891,no,0,140,24,23,92,108,9,1,Yes
40,UAE,3729976,no,0,126,21,14,85,135,2,3,Yes
41,UAE,3836029,yes,41,173,29,17,107,78,15,0,No
42,India,3537289,no,0,125,21,24,98,78,4,2,Yes
43,US,3907274,no,0,86,15,14,110,92,4,3,Yes
44,India,3521237,no,0,154,26,19,118,86,3,1,Yes
45,UAE,3533061,no,28,121,21,18,92,116,5,2,Yes
46,US,3635450,no,0,211,36,14,122,118,5,3,Yes
47,UAE,3641995,no,0,187,32,11,74,127,5,2,Yes
48,US,3981294,no,0,159,27,20,117,91,3,5,No
49,US,4057146,no,24,133,23,18,58,79,3,1,Yes
50,UAE,4134957,no,0,192,33,23,96,87,5,3,Yes
51,UAE,4205645,no,0,221,38,18,115,129,3,1,Yes
52,UAE,3494396,no,0,186,32,16,66,57,6,2,Yes
53,US,4043211,no,0,160,27,23,67,68,5,2,Yes
54,US,3533759,no,0,151,26,19,116,127,3,5,No
55,UAE,3635947,no,0,176,30,21,85,98,3,1,Yes
56,US,3405121,no,0,127,22,15,62,128,2,1,Yes
57,UAE,3707574,no,30,198,34,6,77,77,3,3,No
58,US,4039733,no,0,149,25,21,164,103,3,3,Yes
59,UAE,3557251,no,0,229,39,15,126,95,8,1,Yes
60,UAE,3595893,no,0,192,33,14,94,54,4,1,Yes
61,US,4053371,no,34,269,46,15,142,106,3,2,Yes
62,India,3445117,no,33,194,33,21,96,92,3,2,Yes
63,UAE,3328160,no,28,181,31,16,64,53,3,3,Yes
64,UAE,3594081,no,0,131,22,14,97,106,6,2,Yes
65,US,3528305,no,41,148,25,14,88,102,5,2,Yes
66,US,3299847,yes,0,252,43,18,104,67,4,0,Yes
67,UAE,3659011,yes,0,125,21,18,119,139,8,0,Yes
68,UAE,3389472,no,0,212,36,18,80,60,1,1,Yes
69,India,3748042,no,0,179,30,14,110,100,3,4,No
70,UAE,3591231,no,0,242,41,14,83,104,7,3,Yes
71,India,4137170,no,46,225,38,16,84,61,2,0,Yes
72,India,4152935,no,0,249,42,13,85,109,4,3,Yes
73,US,3994246,no,0,203,35,19,117,105,4,1,Yes
74,US,3625889,no,0,236,40,13,94,99,3,0,Yes
75,US,3508921,no,0,157,27,19,72,111,2,1,Yes
76,US,3745353,no,0,300,51,15,100,73,4,0,No
77,UAE,3601171,no,0,62,10,7,85,99,7,4,No
78,US,3558887,no,0,214,36,14,104,113,3,2,Yes
79,UAE,3331967,no,0,170,29,13,102,76,2,1,Yes
80,US,3544577,no,0,201,34,26,74,119,2,1,Yes
81,US,3317425,yes,0,215,37,17,79,109,5,3,Yes
82,UAE,4192637,no,25,166,28,12,95,90,2,3,Yes
83,US,4111530,no,24,250,42,22,98,68,4,1,Yes
84,India,3953026,no,0,211,36,21,85,88,1,2,No
85,India,3886441,no,29,179,30,19,86,78,7,0,Yes
86,UAE,4021251,no,0,158,27,13,101,84,5,4,No
87,India,4129997,no,0,214,36,18,76,98,2,1,Yes
88,US,3467302,no,35,154,26,10,84,57,9,2,Yes
89,US,3589095,no,0,238,40,21,93,68,4,1,No
90,India,4009770,no,0,144,24,17,105,94,2,1,Yes
91,US,3341275,no,0,203,35,16,104,119,4,0,No
92,US,3404953,no,0,124,21,15,107,62,9,1,Yes
