,Kid home,Teen home,Wines,Fruits,Meat Products,Fish Products,Sweet Products,Gold Prods,Num Deals Purchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Days,Income
0,0,0,635,88,546,172,88,88,3,7,0,1,63,2822,58138
1,1,1,11,1,6,2,1,6,2,5,0,0,66,2272,46344
2,0,0,426,49,127,111,21,42,1,4,0,0,55,2471,71613
3,1,0,11,4,20,10,3,5,2,6,0,0,36,2298,26646
4,1,0,173,43,118,46,27,15,5,5,0,0,39,2320,58293
5,0,1,520,42,98,0,42,14,2,6,0,0,53,2452,62513
6,0,1,235,65,164,50,49,27,4,6,0,0,49,2752,55635
7,1,0,76,10,56,3,1,23,2,8,0,0,35,2576,33454
8,1,0,14,0,24,3,3,2,1,9,0,1,46,2547,30351
9,1,1,28,0,6,1,1,13,1,20,0,0,70,2267,5648
10,0,0,6,16,11,11,1,16,1,8,0,0,44,2752,7500
11,0,0,194,61,480,225,112,30,1,2,0,0,61,2385,63033
12,1,1,233,2,53,3,5,14,3,6,0,0,68,2385,59354
13,0,0,3,14,17,6,1,5,1,8,0,0,33,2786,17323
14,0,0,1006,22,115,59,68,45,1,3,0,1,74,2741,82800
15,1,1,53,5,19,2,13,4,3,8,0,0,40,2711,41850
16,0,0,84,5,38,150,12,28,2,7,0,0,74,2826,37760
17,0,1,1012,80,498,0,16,176,2,5,0,0,71,2617,76995
18,1,0,4,17,19,30,24,39,2,6,0,0,35,2762,33812
19,0,0,86,2,73,69,38,48,1,8,0,0,38,2849,37040
20,1,0,1,1,1725,1,1,1,15,1,0,0,41,2698,2447
21,0,1,867,0,86,0,0,19,3,8,0,0,71,2712,58607
22,0,1,384,0,102,21,32,5,3,4,0,0,66,2328,65324
23,0,1,270,3,27,39,6,99,7,8,0,0,69,2627,40689
24,0,0,6,4,25,15,12,13,2,7,0,0,51,2702,18589
25,1,1,173,4,30,3,6,41,4,7,0,0,44,2557,53359
26,1,0,36,2,42,20,21,10,2,3,0,0,31,2553,38360
27,0,0,684,100,801,21,66,0,1,2,0,0,55,2378,84618
28,0,0,8,4,10,2,2,4,2,5,0,0,31,2197,10979
29,0,0,112,17,44,34,22,89,1,3,0,0,57,2573,38620
30,0,1,110,0,5,2,0,3,2,5,0,0,50,2786,40548
31,0,2,96,12,96,33,22,43,6,6,0,1,68,2767,46610
32,0,0,482,34,471,119,68,22,1,7,0,0,74,2653,68657
33,1,1,40,0,19,2,1,3,1,7,0,0,69,2463,49389
34,0,1,702,17,151,0,8,35,5,2,0,0,50,2339,67353
35,1,0,6,3,14,15,7,36,3,7,0,0,44,2459,23718
36,0,1,55,0,6,2,0,4,2,5,0,0,47,2297,42429
37,0,0,437,8,206,160,49,42,2,6,0,1,77,2672,48948
38,0,1,421,76,536,82,178,102,2,4,0,0,40,2585,80011
39,1,0,13,1,29,3,0,7,2,8,0,0,35,2633,20559
40,0,1,9,0,6,3,1,3,1,5,0,0,63,2711,21994
41,1,0,3,1,10,3,2,12,3,5,0,0,45,2429,7500
42,0,0,123,164,266,227,30,174,1,1,0,0,44,2160,79941
43,0,0,3,18,14,15,22,50,3,9,0,1,24,2756,7500
44,1,0,13,6,15,3,5,13,1,10,0,0,52,2560,41728
45,1,1,826,50,317,50,38,38,9,8,0,0,66,2757,72550
46,0,1,245,19,125,37,67,14,1,2,0,0,63,2207,65486
47,0,0,650,37,780,27,167,32,1,3,0,0,56,2846,79143
48,1,0,12,6,20,30,1,3,2,7,0,0,43,2702,35790
49,0,0,510,120,550,156,40,241,1,1,0,1,43,2181,82582
50,1,1,328,9,124,12,24,109,7,3,0,0,42,2541,66373
51,0,0,984,51,432,180,120,190,1,1,0,1,65,2746,82384
52,0,0,295,35,482,121,120,40,1,3,0,1,54,2612,70287
53,1,0,13,0,8,2,1,5,1,3,0,0,32,2221,27938
54,0,1,447,0,28,0,0,43,3,7,0,0,52,2277,55954
55,0,0,712,26,538,69,13,80,1,1,0,1,38,2519,75777
56,1,1,452,18,102,16,18,6,4,3,0,0,45,2819,66653
57,0,1,523,7,134,37,14,169,4,7,0,0,68,2655,61823
58,0,1,546,0,48,0,6,6,1,5,0,0,69,2542,67680
59,0,0,398,40,367,119,122,30,1,4,0,0,72,2364,70666
60,1,0,1,3,6,3,6,15,1,7,0,1,49,2563,25721
61,1,1,10,0,1,0,0,0,1,7,0,0,53,2208,32474
62,0,1,688,14,309,201,24,38,1,5,0,1,41,2261,88194
63,0,1,247,49,159,7,82,109,1,4,0,0,62,2434,69096
64,1,2,856,59,487,58,29,73,7,5,0,0,50,2606,74854
65,0,0,496,36,460,189,60,12,3,3,0,0,66,2815,66991
66,0,1,258,107,291,84,37,86,4,7,0,0,61,2628,65031
67,1,1,565,6,65,0,6,19,5,7,0,0,45,2609,60631
68,0,0,14,10,13,4,15,9,1,2,0,0,68,2219,28332
69,1,0,2,1,6,2,1,1,1,6,0,0,43,2716,40246
70,0,0,721,111,925,97,18,18,1,5,0,1,48,2830,75251
71,0,0,1032,105,779,137,105,51,0,4,0,1,44,2784,75825
72,0,0,1,0,5,0,3,9,1,3,1,0,44,2457,26326
73,0,0,577,0,64,0,0,51,2,8,0,1,55,2702,56046
74,1,0,64,4,68,7,5,17,4,8,0,0,35,2828,29760
75,1,0,4,1,5,2,0,4,1,7,0,0,51,2530,26304
76,1,0,25,5,19,7,0,23,3,7,0,0,47,2520,23559
77,0,0,112,17,44,34,22,89,1,3,0,0,57,2573,38620
78,0,0,163,23,424,27,65,76,1,1,0,0,33,2283,81361
79,1,1,17,8,14,10,4,3,2,7,0,0,60,2481,29440
80,1,1,130,0,16,0,0,5,5,7,0,0,50,2507,36138
81,0,1,292,6,37,0,3,34,4,7,0,1,63,2191,50388
82,0,0,350,60,568,110,133,145,1,2,0,0,47,2207,79593
83,0,1,135,9,39,4,0,7,1,2,0,0,53,2318,54178
84,1,0,15,2,10,0,1,4,1,7,0,0,48,2257,42394
85,1,0,27,2,14,0,0,0,3,5,0,0,50,2195,23626
86,1,0,5,3,11,12,5,9,1,6,0,0,37,2197,30096
87,0,1,505,0,26,0,0,75,5,6,0,0,60,2743,47916
88,1,1,51,2,7,0,1,2,2,7,0,0,48,2603,51813
89,0,0,207,26,447,75,0,223,1,2,0,0,69,2369,78497
90,0,0,135,46,92,65,61,11,2,5,0,0,37,2533,50150
91,0,1,53,1,5,2,1,10,2,8,0,0,60,2500,47823
92,0,1,41,1,6,2,0,5,2,6,0,0,61,2250,34554
93,0,1,386,172,183,185,132,111,2,5,0,0,41,2594,85693
94,0,0,562,81,276,80,40,81,1,4,0,0,75,2567,65846
95,0,0,217,76,690,50,26,38,1,1,0,1,61,2211,87195
96,1,0,1,3,6,10,0,9,1,5,0,0,41,2360,24594
97,1,1,144,1,32,2,1,7,4,7,0,0,56,2437,49096
98,0,2,295,106,271,75,98,65,4,6,0,0,51,2671,52413
99,1,0,76,3,31,4,4,27,2,7,0,0,42,2716,38557
100,0,0,454,194,106,31,22,43,1,2,0,0,60,2728,89058
101,0,1,425,115,292,23,35,79,1,3,0,0,41,2398,77298
102,0,0,1332,17,311,23,51,86,1,9,0,1,29,2755,68126
103,0,1,527,0,21,0,0,60,3,6,0,0,57,2163,57288
104,0,0,490,44,125,29,20,22,1,3,0,1,29,2702,86037
105,1,0,378,0,101,0,0,72,5,7,0,0,40,2723,43974
106,1,1,64,1,21,0,1,27,2,6,0,0,58,2451,50785
107,0,0,547,99,812,151,82,33,0,1,0,0,50,2315,90765
108,1,0,47,90,94,123,103,120,5,9,0,0,42,2654,36550
109,1,1,12,5,25,0,9,30,2,5,0,0,53,2512,30753
110,1,0,1,6,7,11,5,3,2,6,0,0,51,2386,21918
111,0,1,320,48,133,39,72,48,4,4,0,0,67,2533,56129
112,1,0,34,3,29,0,4,10,3,5,0,1,53,2284,32557
113,2,0,9,0,7,3,4,7,2,7,0,0,35,2457,19510
114,1,0,17,0,14,7,3,2,1,7,0,0,44,2592,30992
115,0,0,722,27,102,44,72,168,0,2,0,1,37,2633,101970
116,0,0,162,33,124,40,28,172,2,1,0,0,55,2655,71488
117,0,0,450,133,951,173,0,216,1,1,0,1,36,2593,79607
118,1,1,70,0,16,0,0,4,2,6,0,0,67,2180,54348
119,1,1,492,19,110,16,12,12,4,4,0,0,64,2209,77376
120,0,1,120,58,73,65,89,58,5,5,0,0,68,2431,62998
121,1,1,534,5,47,0,5,41,5,8,0,0,62,2635,61331
122,0,0,236,106,189,23,41,130,1,4,0,0,51,2298,73448
123,1,1,220,0,33,3,0,23,5,8,0,0,56,2478,41551
124,0,0,796,14,590,38,44,0,1,3,0,0,53,2628,62981
125,1,0,0,1,3,10,6,9,2,8,0,0,44,2849,9548
126,2,1,53,1,34,2,0,16,3,8,0,0,61,2516,33762
127,1,1,15,0,8,4,2,20,2,5,0,1,47,2200,35860
128,1,1,17,1,12,3,1,4,2,7,0,0,55,2495,36921
